School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2017,Math,11,0333,North Union Comm School District,31,44,70.5,70.1 - 80%,,,,,
2017,Reading,11,0333,North Union Comm School District,27,44,61.4,60.1 - 70%,,,,,
2017,Math,11,4788,Northwood-Kensett Comm School District,36,39,92.3,90.1 - 100%,,,,,
2017,Reading,11,4788,Northwood-Kensett Comm School District,35,39,89.7,80.1 - 90%,,,,,
2017,Reading,11,4797,Norwalk Comm School District,165,197,83.8,80.1 - 90%,,,,,
2017,Math,11,4797,Norwalk Comm School District,178,197,90.4,90.1 - 100%,,,,,
2017,Reading,11,4869,Oelwein Comm School District,50,63,79.4,70.1 - 80%,,,,,
2017,Math,11,4869,Oelwein Comm School District,51,63,81.0,80.1 - 90%,,,,,
2017,Math,11,4878,Ogden Comm School District,51,56,91.1,90.1 - 100%,,,,,
2017,Reading,11,4878,Ogden Comm School District,46,56,82.1,80.1 - 90%,,,,,
2017,Reading,11,4890,Okoboji Comm School District,47,53,88.7,80.1 - 90%,,,,,
2017,Math,11,4890,Okoboji Comm School District,46,53,86.8,80.1 - 90%,,,,,
2017,Reading,11,4978,Orient-Macksburg Comm School District,5,10,50.0,40.1 - 50%,,,,,
2017,Math,11,4978,Orient-Macksburg Comm School District,8,10,80.0,70.1 - 80%,,,,,
2017,Math,11,4995,Osage Comm School District,64,69,92.8,90.1 - 100%,,,,,
2017,Reading,11,4995,Osage Comm School District,56,69,81.2,80.1 - 90%,,,,,
2017,Reading,11,5013,Oskaloosa Comm School District,113,158,71.5,70.1 - 80%,,,,,
2017,Math,11,5013,Oskaloosa Comm School District,109,158,69.0,60.1 - 70%,,,,,
2017,Math,11,5049,Ottumwa Comm School District,211,266,79.3,70.1 - 80%,,,,,
2017,Reading,11,5049,Ottumwa Comm School District,202,267,75.7,70.1 - 80%,,,,,
2017,Reading,11,5121,Panorama Comm School District,42,52,80.8,80.1 - 90%,,,,,
2017,Math,11,5121,Panorama Comm School District,45,52,86.5,80.1 - 90%,,,,,
2017,Reading,11,5139,Paton-Churdan Comm School District,10,12,83.3,80.1 - 90%,,,,,
2017,Math,11,5139,Paton-Churdan Comm School District,11,12,91.7,90.1 - 100%,,,,,
2017,Math,11,5160,PCM Comm School District,57,63,90.5,90.1 - 100%,,,,,
2017,Reading,11,5160,PCM Comm School District,56,63,88.9,80.1 - 90%,,,,,
2017,Math,11,5163,Pekin Comm School District,42,54,77.8,70.1 - 80%,,,,,
2017,Reading,11,5163,Pekin Comm School District,40,54,74.1,70.1 - 80%,,,,,
2017,Reading,11,5166,Pella Comm School District,133,153,86.9,80.1 - 90%,,,,,
2017,Math,11,5166,Pella Comm School District,143,153,93.5,90.1 - 100%,,,,,
2017,Math,11,5184,Perry Comm School District,107,147,72.8,70.1 - 80%,,,,,
2017,Reading,11,5184,Perry Comm School District,100,147,68.0,60.1 - 70%,,,,,
2017,Reading,11,5250,Pleasant Valley Comm School District,316,349,90.5,90.1 - 100%,,,,,
2017,Math,11,5250,Pleasant Valley Comm School District,323,349,92.6,90.1 - 100%,,,,,
2017,Reading,11,5256,Pleasantville Comm School District,51,58,87.9,80.1 - 90%,,,,,
2017,Math,11,5256,Pleasantville Comm School District,49,58,84.5,80.1 - 90%,,,,,
2017,Math,11,5283,Pocahontas Area Comm School District,33,44,75.0,70.1 - 80%,,,,,
2017,Reading,11,5283,Pocahontas Area Comm School District,35,44,79.5,70.1 - 80%,,,,,
2017,Math,11,5310,Postville Comm School District,21,48,43.8,40.1 - 50%,,,,,
2017,Reading,11,5310,Postville Comm School District,18,48,37.5,30.1 - 40%,,,,,
2017,Math,11,5325,Prairie Valley Comm School District,52,64,81.3,80.1 - 90%,,,,,
2017,Reading,11,5325,Prairie Valley Comm School District,52,64,81.3,80.1 - 90%,,,,,
2017,Reading,11,5463,Red Oak Comm School District,55,70,78.6,70.1 - 80%,,,,,
2017,Math,11,5463,Red Oak Comm School District,62,70,88.6,80.1 - 90%,,,,,
2017,Math,11,5508,Riceville Comm School District,18,25,72.0,70.1 - 80%,,,,,
2017,Reading,11,5508,Riceville Comm School District,15,25,60.0,50.1 - 60%,,,,,
2017,Reading,11,5510,Riverside Comm School District,27,35,77.1,70.1 - 80%,,,,,
2017,Math,11,5510,Riverside Comm School District,27,35,77.1,70.1 - 80%,,,,,
2017,Math,11,1975,River Valley Comm School District,24,29,82.8,80.1 - 90%,,,,,
2017,Reading,11,1975,River Valley Comm School District,25,29,86.2,80.1 - 90%,,,,,
2017,Math,11,5607,Rock Valley Comm School District,43,48,89.6,80.1 - 90%,,,,,
2017,Reading,11,5607,Rock Valley Comm School District,38,48,79.2,70.1 - 80%,,,,,
2017,Math,11,5643,Roland-Story Comm School District,76,82,92.7,90.1 - 100%,,,,,
2017,Reading,11,5643,Roland-Story Comm School District,65,82,79.3,70.1 - 80%,,,,,
2017,Reading,11,5697,Rudd-Rockford-Marble Rk Comm School District,32,44,72.7,70.1 - 80%,,,,,
2017,Math,11,5697,Rudd-Rockford-Marble Rk Comm School District,36,44,81.8,80.1 - 90%,,,,,
2017,Math,11,5724,Ruthven-Ayrshire Comm School District,11,14,78.6,70.1 - 80%,,,,,
2017,Reading,11,5724,Ruthven-Ayrshire Comm School District,12,14,85.7,80.1 - 90%,,,,,
2017,Reading,11,5805,Saydel Comm School District,61,92,66.3,60.1 - 70%,,,,,
2017,Math,11,5805,Saydel Comm School District,62,92,67.4,60.1 - 70%,,,,,
2017,Reading,11,5877,Sergeant Bluff-Luton Comm School District,98,108,90.7,90.1 - 100%,,,,,
2017,Math,11,5877,Sergeant Bluff-Luton Comm School District,100,108,92.6,90.1 - 100%,,,,,
2017,Math,11,5895,Seymour Comm School District,9,11,81.8,80.1 - 90%,,,,,
2017,Reading,11,5895,Seymour Comm School District,9,11,81.8,80.1 - 90%,,,,,
2017,Math,11,5949,Sheldon Comm School District,71,84,84.5,80.1 - 90%,,,,,
2017,Reading,11,5949,Sheldon Comm School District,65,85,76.5,70.1 - 80%,,,,,
2017,Math,11,5976,Shenandoah Comm School District,52,64,81.3,80.1 - 90%,,,,,
2017,Reading,11,5976,Shenandoah Comm School District,54,64,84.4,80.1 - 90%,,,,,
2017,Reading,11,5994,Sibley-Ocheyedan Comm School District,41,57,71.9,70.1 - 80%,,,,,
2017,Math,11,5994,Sibley-Ocheyedan Comm School District,48,57,84.2,80.1 - 90%,,,,,
2017,Math,11,6003,Sidney Comm School District,24,26,92.3,90.1 - 100%,,,,,
2017,Reading,11,6003,Sidney Comm School District,23,26,88.5,80.1 - 90%,,,,,
2017,Math,11,6012,Sigourney Comm School District,32,39,82.1,80.1 - 90%,,,,,
2017,Reading,11,6012,Sigourney Comm School District,30,39,76.9,70.1 - 80%,,,,,
2017,Reading,11,6030,Sioux Center Comm School District,73,84,86.9,80.1 - 90%,,,,,
2017,Math,11,6030,Sioux Center Comm School District,77,84,91.7,90.1 - 100%,,,,,
2017,Reading,11,6035,Sioux Central Comm School District,49,63,77.8,70.1 - 80%,,,,,
2017,Math,11,6035,Sioux Central Comm School District,52,63,82.5,80.1 - 90%,,,,,
2017,Reading,11,6039,Sioux City Comm School District,634,875,72.5,70.1 - 80%,,,,,
2017,Math,11,6039,Sioux City Comm School District,626,875,71.5,70.1 - 80%,,,,,
2017,Reading,11,6093,Solon Comm School District,96,108,88.9,80.1 - 90%,,,,,
2017,Math,11,6093,Solon Comm School District,99,107,92.5,90.1 - 100%,,,,,
2017,Math,11,6091,South Central Calhoun Comm School District,61,67,91.0,90.1 - 100%,,,,,
2017,Reading,11,6091,South Central Calhoun Comm School District,59,67,88.1,80.1 - 90%,,,,,
2017,Math,11,6101,Southeast Polk Comm School District,375,460,81.5,80.1 - 90%,,,,,
2017,Reading,11,6101,Southeast Polk Comm School District,354,462,76.6,70.1 - 80%,,,,,
2017,Math,11,6094,Southeast Warren Comm School District,35,40,87.5,80.1 - 90%,,,,,
2017,Reading,11,6094,Southeast Warren Comm School District,37,40,92.5,90.1 - 100%,,,,,
2017,Reading,11,6095,South Hamilton Comm School District,58,62,93.5,90.1 - 100%,,,,,
2017,Math,11,6095,South Hamilton Comm School District,57,62,91.9,90.1 - 100%,,,,,
2017,Reading,11,6099,South O'Brien Comm School District,40,50,80.0,70.1 - 80%,,,,,
2017,Math,11,6099,South O'Brien Comm School District,44,50,88.0,80.1 - 90%,,,,,
2017,Reading,11,6098,South Tama County,73,104,70.2,70.1 - 80%,,,,,
2017,Math,11,6098,South Tama County,80,104,76.9,70.1 - 80%,,,,,
2017,Reading,11,6100,South Winneshiek Comm School District,43,52,82.7,80.1 - 90%,,,,,
2017,Math,11,6100,South Winneshiek Comm School District,52,52,100.0,90.1 - 100%,,,,,
2017,Math,11,6102,Spencer Comm School District,108,131,82.4,80.1 - 90%,,,,,
2017,Reading,11,6102,Spencer Comm School District,115,130,88.5,80.1 - 90%,,,,,
2017,Reading,11,6120,Spirit Lake Comm School District,83,97,85.6,80.1 - 90%,,,,,
2017,Math,11,6120,Spirit Lake Comm School District,83,97,85.6,80.1 - 90%,,,,,
2017,Math,11,6138,Springville Comm School District,23,29,79.3,70.1 - 80%,,,,,
2017,Reading,11,6138,Springville Comm School District,22,29,75.9,70.1 - 80%,,,,,
2017,Reading,11,5751,St Ansgar Comm School District,45,51,88.2,80.1 - 90%,,,,,
2017,Math,11,5751,St Ansgar Comm School District,48,51,94.1,90.1 - 100%,,,,,
2017,Reading,11,6165,Stanton Comm School District,12,13,92.3,90.1 - 100%,,,,,
2017,Math,11,6165,Stanton Comm School District,12,13,92.3,90.1 - 100%,,,,,
2017,Reading,11,6175,Starmont Comm School District,40,46,87.0,80.1 - 90%,,,,,
2017,Math,11,6175,Starmont Comm School District,45,46,97.8,90.1 - 100%,,,,,
2017,Reading,11,6219,Storm Lake Comm School District,104,143,72.7,70.1 - 80%,,,,,
2017,Math,11,6219,Storm Lake Comm School District,108,142,76.1,70.1 - 80%,,,,,
2017,Reading,11,6273,Sumner-Fredericksburg Comm School District,34,42,81.0,80.1 - 90%,,,,,
2017,Math,11,6273,Sumner-Fredericksburg Comm School District,35,42,83.3,80.1 - 90%,,,,,
2017,Math,11,6408,Tipton Comm School District,56,64,87.5,80.1 - 90%,,,,,
2017,Reading,11,6408,Tipton Comm School District,54,64,84.4,80.1 - 90%,,,,,
2017,Reading,11,6453,Treynor Comm School District,38,40,95.0,90.1 - 100%,,,,,
2017,Math,11,6453,Treynor Comm School District,38,40,95.0,90.1 - 100%,,,,,
2017,Math,11,6460,Tri-Center Comm School District,44,47,93.6,90.1 - 100%,,,,,
2017,Reading,11,6460,Tri-Center Comm School District,41,47,87.2,80.1 - 90%,,,,,
2017,Math,11,6462,Tri-County Comm School District,16,23,69.6,60.1 - 70%,,,,,
2017,Reading,11,6462,Tri-County Comm School District,18,23,78.3,70.1 - 80%,,,,,
2017,Reading,11,6471,Tripoli Comm School District,32,35,91.4,90.1 - 100%,,,,,
2017,Math,11,6471,Tripoli Comm School District,30,35,85.7,80.1 - 90%,,,,,
2017,Reading,11,6509,Turkey Valley Comm School District,26,31,83.9,80.1 - 90%,,,,,
2017,Math,11,6509,Turkey Valley Comm School District,30,31,96.8,90.1 - 100%,,,,,
2017,Reading,11,6512,Twin Cedars Comm School District,17,21,81.0,80.1 - 90%,,,,,
2017,Math,11,6512,Twin Cedars Comm School District,19,21,90.5,90.1 - 100%,,,,,
2017,Reading,11,6534,Underwood Comm School District,50,60,83.3,80.1 - 90%,,,,,
2017,Math,11,6534,Underwood Comm School District,56,60,93.3,90.1 - 100%,,,,,
2017,Math,11,6536,Union Comm School District,65,80,81.3,80.1 - 90%,,,,,
2017,Reading,11,6536,Union Comm School District,62,79,78.5,70.1 - 80%,,,,,
2017,Math,11,6579,Urbandale Comm School District,235,286,82.2,80.1 - 90%,,,,,
2017,Reading,11,6579,Urbandale Comm School District,233,287,81.2,80.1 - 90%,,,,,
2017,Reading,11,6592,Van Buren Comm School District,35,45,77.8,70.1 - 80%,,,,,
2017,Math,11,6592,Van Buren Comm School District,36,45,80.0,70.1 - 80%,,,,,
2017,Reading,11,6615,Van Meter Comm School District,59,65,90.8,90.1 - 100%,,,,,
2017,Math,11,6615,Van Meter Comm School District,60,65,92.3,90.1 - 100%,,,,,
2017,Math,11,6660,Vinton-Shellsburg Comm School District,92,100,92.0,90.1 - 100%,,,,,
2017,Reading,11,6660,Vinton-Shellsburg Comm School District,85,100,85.0,80.1 - 90%,,,,,
2017,Math,11,6700,Waco Comm School District,24,27,88.9,80.1 - 90%,,,,,
2017,Reading,11,6700,Waco Comm School District,22,27,81.5,80.1 - 90%,,,,,
2017,Reading,11,6759,Wapello Comm School District,38,50,76.0,70.1 - 80%,,,,,
2017,Math,11,6759,Wapello Comm School District,39,50,78.0,70.1 - 80%,,,,,
2017,Math,11,6762,Wapsie Valley Comm School District,41,50,82.0,80.1 - 90%,,,,,
2017,Reading,11,6762,Wapsie Valley Comm School District,38,50,76.0,70.1 - 80%,,,,,
2017,Reading,11,6768,Washington Comm School District,103,137,75.2,70.1 - 80%,,,,,
2017,Math,11,6768,Washington Comm School District,104,138,75.4,70.1 - 80%,,,,,
2017,Reading,11,6795,Waterloo Comm School District,415,604,68.7,60.1 - 70%,,,,,
2017,Math,11,6795,Waterloo Comm School District,433,604,71.7,70.1 - 80%,,,,,
2017,Math,11,6822,Waukee Comm School District,495,550,90.0,80.1 - 90%,,,,,
2017,Reading,11,6822,Waukee Comm School District,482,550,87.6,80.1 - 90%,,,,,
2017,Math,11,6840,Waverly-Shell Rock Comm School District,132,145,91.0,90.1 - 100%,,,,,
2017,Reading,11,6840,Waverly-Shell Rock Comm School District,127,145,87.6,80.1 - 90%,,,,,
2017,Reading,11,6854,Wayne Comm School District,32,44,72.7,70.1 - 80%,,,,,
2017,Math,11,6854,Wayne Comm School District,38,44,86.4,80.1 - 90%,,,,,
2017,Math,11,6867,Webster City Comm School District,88,102,86.3,80.1 - 90%,,,,,
2017,Reading,11,6867,Webster City Comm School District,77,102,75.5,70.1 - 80%,,,,,
2017,Reading,11,6921,West Bend-Mallard Comm School District,21,26,80.8,80.1 - 90%,,,,,
2017,Math,11,6921,West Bend-Mallard Comm School District,20,26,76.9,70.1 - 80%,,,,,
2017,Math,11,6930,West Branch Comm School District,55,61,90.2,90.1 - 100%,,,,,
2017,Reading,11,6930,West Branch Comm School District,53,61,86.9,80.1 - 90%,,,,,
2017,Math,11,6937,West Burlington Ind School District,56,62,90.3,90.1 - 100%,,,,,
2017,Reading,11,6937,West Burlington Ind School District,56,62,90.3,90.1 - 100%,,,,,
2017,Math,11,6943,West Central Comm School District,13,15,86.7,80.1 - 90%,,,,,
2017,Reading,11,6943,West Central Comm School District,11,15,73.3,70.1 - 80%,,,,,
2017,Math,11,6264,West Central Valley Comm School District,43,48,89.6,80.1 - 90%,,,,,
2017,Reading,11,6264,West Central Valley Comm School District,41,48,85.4,80.1 - 90%,,,,,
2017,Math,11,6950,West Delaware County Comm School District,101,107,94.4,90.1 - 100%,,,,,
2017,Reading,11,6950,West Delaware County Comm School District,95,107,88.8,80.1 - 90%,,,,,
2017,Math,11,6957,West Des Moines Comm School District,531,639,83.1,80.1 - 90%,,,,,
2017,Reading,11,6957,West Des Moines Comm School District,508,638,79.6,70.1 - 80%,,,,,
2017,Reading,11,6961,Western Dubuque Comm School District,242,307,78.8,70.1 - 80%,,,,,
2017,Math,11,6961,Western Dubuque Comm School District,275,308,89.3,80.1 - 90%,,,,,
2017,Math,11,5922,West Fork CSD,37,48,77.1,70.1 - 80%,,,,,
2017,Reading,11,5922,West Fork CSD,36,48,75.0,70.1 - 80%,,,,,
2017,Math,11,0819,West Hancock Comm School District,29,34,85.3,80.1 - 90%,,,,,
2017,Reading,11,0819,West Hancock Comm School District,28,34,82.4,80.1 - 90%,,,,,
2017,Reading,11,6969,West Harrison Comm School District,21,28,75.0,70.1 - 80%,,,,,
2017,Math,11,6969,West Harrison Comm School District,22,28,78.6,70.1 - 80%,,,,,
2017,Math,11,6975,West Liberty Comm School District,80,97,82.5,80.1 - 90%,,,,,
2017,Reading,11,6975,West Liberty Comm School District,66,97,68.0,60.1 - 70%,,,,,
2017,Math,11,6983,West Lyon Comm School District,62,63,98.4,90.1 - 100%,,,,,
2017,Reading,11,6983,West Lyon Comm School District,61,63,96.8,90.1 - 100%,,,,,
2017,Math,11,6985,West Marshall Comm School District,59,66,89.4,80.1 - 90%,,,,,
2017,Reading,11,6985,West Marshall Comm School District,56,66,84.8,80.1 - 90%,,,,,
2017,Math,11,6987,West Monona Comm School District,27,34,79.4,70.1 - 80%,,,,,
2017,Reading,11,6987,West Monona Comm School District,28,35,80.0,70.1 - 80%,,,,,
2017,Math,11,6990,West Sioux Comm School District,36,45,80.0,70.1 - 80%,,,,,
2017,Reading,11,6990,West Sioux Comm School District,38,45,84.4,80.1 - 90%,,,,,
2017,Reading,11,6992,Westwood Comm School District,32,38,84.2,80.1 - 90%,,,,,
2017,Math,11,6992,Westwood Comm School District,32,38,84.2,80.1 - 90%,,,,,
2017,Reading,11,7002,Whiting Comm School District,10,10,100.0,90.1 - 100%,,,,,
2017,Math,11,7002,Whiting Comm School District,9,10,90.0,80.1 - 90%,,,,,
2017,Reading,11,7029,Williamsburg Comm School District,83,90,92.2,90.1 - 100%,,,,,
2017,Math,11,7029,Williamsburg Comm School District,84,90,93.3,90.1 - 100%,,,,,
2017,Math,11,7038,Wilton Comm School District,46,53,86.8,80.1 - 90%,,,,,
2017,Reading,11,7038,Wilton Comm School District,40,53,75.5,70.1 - 80%,,,,,
2017,Math,11,7047,Winfield-Mt Union Comm School District,22,31,71.0,70.1 - 80%,,,,,
2017,Reading,11,7047,Winfield-Mt Union Comm School District,22,31,71.0,70.1 - 80%,,,,,
2017,Math,11,7056,Winterset Comm School District,94,109,86.2,80.1 - 90%,,,,,
2017,Reading,11,7056,Winterset Comm School District,81,110,73.6,70.1 - 80%,,,,,
2017,Reading,11,7092,Woodbine Comm School District,13,19,68.4,60.1 - 70%,,,,,
2017,Math,11,7092,Woodbine Comm School District,16,18,88.9,80.1 - 90%,,,,,
2017,Reading,11,7098,Woodbury Central Comm School District,34,45,75.6,70.1 - 80%,,,,,
2017,Math,11,7098,Woodbury Central Comm School District,43,45,95.6,90.1 - 100%,,,,,
2017,Math,11,7110,Woodward-Granger Comm School District,43,49,87.8,80.1 - 90%,,,,,
2017,Reading,11,7110,Woodward-Granger Comm School District,42,49,85.7,80.1 - 90%,,,,,
